00000000010000010100000000000000000000000	Shelter and Settlements. Cyclone. 12% of those assisted and surveyed by VRCS reported being exposed to storm surge and had lost property and possessions during the cyclone as a result. Improving this situation cannot be achieved with technical solutions alone, as issues of land ownership and livelihoods would need to be considered concurrently. Supporting these communities living in coastal areas with early warning, early action awareness, together with advocacy and support for relocation where feasible, will be necessary.
00000000010000010100000000000000000000000	Shelter and Settlements. Cyclone. 12% of those assisted and surveyed by VRCS reported being exposed to storm surge and had lost property and possessions during the cyclone as a result. Improving this situation cannot be achieved with technical solutions alone, as issues of land ownership and livelihoods would need to be considered concurrently. Supporting these communities living in coastal areas with early warning, early action awareness, together with advocacy and support for relocation where feasible, will be necessary.
00000000010000010100000000000000000000000	Shelter and Settlements. Cyclone. 12% of those assisted and surveyed by VRCS reported being exposed to storm surge and had lost property and possessions during the cyclone as a result. Improving this situation cannot be achieved with technical solutions alone, as issues of land ownership and livelihoods would need to be considered concurrently. Supporting these communities living in coastal areas with early warning, early action awareness, together with advocacy and support for relocation where feasible, will be necessary.
00000000000000000100000000000000000000000	Water Sanitation and Hygiene. Flood. 30 volunteers were trained on vector control, to use sprayers and protective gear to spray pesticides in the stagnant waters surrounding houses. Implementation of this operational element required an approval from local authorities, in addition to providing list of certified local pesticides. This process was not through until the vector presence decreased itself due to weather change (decrease of air temperature). Therefore, the spraying was cancelled.
00001000000000001000000000000000000000000	Livelihoods and Basic Needs . Cold Wave. 33 HHs did not collect their cash assistance either because of resettlement, intractability, switched off/no coverage of mobile phones, data errors or relocation to mountains tops for survival of their livestock. PRCS volunteers tried their best for these people to collect and access the cash, however they were unable to because of the mentioned reasons. The cash amount will be returned to the DREF pot.
00001000000000001000000000000000000000000	Livelihoods and Basic Needs . Cold Wave. 33 HHs did not collect their cash assistance either because of resettlement, intractability, switched off/no coverage of mobile phones, data errors or relocation to mountains tops for survival of their livestock. PRCS volunteers tried their best for these people to collect and access the cash, however they were unable to because of the mentioned reasons. The cash amount will be returned to the DREF pot.
00000000000000100000000000000000000000000	Livelihoods and Basic Needs . Drought. 5 mobile pumps per community were not enough to irrigate the drought affected land regularly and one community out of 5 was not provided with pump as the quantity of mobile water pumps in stock of the DPRK RCS was only 20 at the initial stage of the operation. The DPRK RCS and IFRC CO, in order to cope with such situation, requested to procure 20 mobile pumps with the DREF allocation and provided the above-mentioned community with fuel to run the water pumps available in the community.
00001000000000000000000000000000000000000	Water Sanitation and Hygiene. Flood. 80% of women reported not needing disposable sanitary napkins
00000000000000000000000000000010000000000	Strategies for implementation. Flood. A beneficiary satisfaction survey was conducted to collect the views of women and men, girls and boys on the support provided. A Lessons Learned workshop was conducted to review the implementation of the project and the resulting report was produced for future learning.
00000000000000000000001000000000000000000	Strategies for implementation. Population Movement. A delay in the transfer of funds from IFRC to CRCS occurred, due to delays in the banking system of the receiving Chadian bank. This caused a two-week delay for the to be received by the NS and partially impacted the start of activities. However, the implementation was completed as planned in the operation.
00000000000000001000000000000000000000000	Livelihoods and Basic Needs . Drought. A fixed amount for beneficiary travel to FSP outlets or easy paisa shops, should be included in the beneficiary cash payment amount, with an understanding with the FSP.
00000001000000000000000000000000000000000	Water Sanitation and Hygiene. Drought. A follow up recovery plan post emergency response operation should be made part of the EPoA
00000000000001000000000000000000000000000	Health. Epidemic. A good knowledge of the periodicity of the emergence of epidemics diseases in the community such as Meningitis, Rift Valley Fever, Hepatitis E, Cholera etc…
00000000010000000000000000000000000000000	Health. Flood. A good knowledge of the periodicity of the occurrence of floods and a cartography of the potential flooding zones
00001000000000000000000000000000000000000	Protection, Gender and Inclusion. Other. A good orientation and continues engagement of all the parties; parents, students and teachers from the inception of the programme will enable better and easy programming
00000000000000000000000000000000000010000	Water Sanitation and Hygiene. Cyclone. A lack of available vehicles from FRCS along with delays in being able to gain approval to hire rental vehicles caused delays in distribution activities.
00010000000000000000000000000000000000000	Protection, Gender and Inclusion. Volcanic Eruption. A lack of awareness and understanding by community members on the concept of child protection and child abuse. The law has little impact when people follow “kastom” (custom) practices.
00000000000000000000000000000010000000000	Strategies for implementation. Flood. A Lessons Learnt workshop was planned, but not held due to the few activities implemented and unavailability of NS senior management engaged in other activities. However, discussions between the IFRC and the NS on main challenges were undertaken in several occasions and focused especially on procurement procedures
00000000000000000000000000000000000000100	Protection, Gender and Inclusion. Volcanic Eruption. A main challenge in the field is ensuring representative field teams are deployed to communities. In Penama, the majority of existing volunteers were male and whilst some effort was made to recruit females to the team, the branch was unable to deploy well balanced teams which may have affected their ability to engage with communities.
00000000000000000000000001000000000000000	Water Sanitation and Hygiene. Flood. A major challenge under this sector was the proliferation of other humanitarian actors planning on doing similar things and raising the danger of duplication of humanitarian efforts.
00000010000000000000000000000000000000000	Shelter and Settlements. Flood. A need emerged for further dissemination and sensitisation on the Sphere standards, as well as for an agreement on standard operating procedures with state branches before an operation.
00000000000000000000000000000000000000100	Health. Cyclone. A number of experienced volunteers were not involved in the response operation. This was due to them not being contacted by TRCS, and/or due to their contact information not being up to date. This meant that volunteers with little or no experience were required to do most of the work.
00000000000000000000000100000000000000000	Strategies for implementation. Civil Unrest. A partnership with the Belgian Red Cross was built to be able to deploy a Surge Operations coordinator and could be built upon in order to expand the French speaking base of personnel to deploy in support to the Haitian Red Cross.
00000000000000000000000000000010000000000	Strategies for implementation. Cyclone. A Post-Distribution Monitoring of the relief operation should be taken up to understand what people think about the effectiveness, efficiency and impact of the Red Cross Relief Operation. The feedback can be integrated into future operations
00000000000000000000000010000000000000000	Health. Cyclone. A post distribution monitoring for NFIs (including Health items) was conducted, in which 99 per cent were satisfied with the items they received, including the mosquito nets and found them useful. The good practice for the chapter needs to prioritize building a strong partnership with hospitals and other private medical agencies through good communication to involve them with the Red Cross activities. This partnership gives an opportunity for the chapter to be able to mobilize manpower for mobile health clinics and other health activities. To continue to support chapters with capacity development and manpower in health. To ensure assessment teams obtain complete data sets from the community to plan the interventions.
00000000000001000000000000000000000000000	Water Sanitation and Hygiene. Cyclone. A post distribution monitoring for NFIs (including WASH items) was conducted, in which 99 per cent were satisfied with the items they received, including the hygiene kits and jerry cans and found them to be useful.
00001000000000000000000000000000000000000	Water Sanitation and Hygiene. Flood. A post distribution monitoring for NFIs (including WASH) was conducted, in which 98 per cent were satisfied with the items they received, including the hygiene kits and jerry cans. There were 99 per cent who reported that NFI received was useful.
00000000000000000000000000000010000000000	Shelter and Settlements. Cyclone. A post distribution monitoring survey was conducted where household items were distributed
00000000000000001000000000000000000000000	Livelihoods and Basic Needs . Flood. A post distribution monitoring was conducted for the unconditional/ multipurpose cash grants. The monitoring showed that 45% used the cash grant for food, 11% for medical expenses, 7% for school related expenses and 6% for debt payment
00000000000000000000100000000000000000000	Shelter and Settlements. Flood. A post distribution survey that was planned to be undertaken through ODK, did not take place due to technical gaps and readiness of the system
00000000000010000000000000000000000000100	Health. Cyclone. A proper first aid training and its refresher for volunteers should be conducted regularly; it includes sufficient practical session which is locally adapted and utilized available resources.
00000000000010000000000000000000000000100	Health. Cyclone. A proper first aid training and its refresher for volunteers should be conducted regularly; it includes sufficient practical session which is locally adapted and utilized available resources.
00000000000000000000000000000000000000100	Health. Cyclone. A regular First Aid refresher training for the emergency response team would ensure knowledge, skills and confidence are maintained.
00000000000000100000000000000000000000000	Health. Cyclone. A strong volunteer network at branches and community level will be an asset for VRCS. In addition, a systematic volunteer management including capacity building, care for volunteer and reward system should be maintained to ensure availability of well-trained volunteers especially for disaster response.
00000000000000000000000000000000000000100	Strategies for implementation. Civil Unrest. A visible challenge was the development of credentials with the same format throughout the National Society.
